shortcode;id;text;created_at
CQoSzVNraaH;17871561104514072;Look for its solution in University of Michigan's book process dynamics and  control.;1624880433
CQoSzVNraaH;17881022585378675;@_alicelancaster_ yes goose free;1624881222
CQoSzVNraaH;17892266279191845;After years of unspeakable crimes they do one great thing so let’s celebrate them! Great job humanity👍🏼;1624881804
CQoSzVNraaH;17932869226544840;Stop using down fill and then we can celebrate.;1624811927
CQoSzVNraaH;17871950966454548;@jesusheel did anybody say so? It’s a fucking announcement. Celebrate that progression is made and stop bitching;1624812043
CQoSzVNraaH;17874361607403696;👏🔥🙌;1624812116
CQoSzVNraaH;17977504711388232;It’s needless promotion of a brand that doesn’t show anywhere near enough care. Why not concentrate on alternatives.;1624812271
CQoSzVNraaH;17922112462689764;Great bit of free advertising for them 🤯;1624812313
CQoSzVNraaH;17882238164370259;Finally🙌;1624812353
CQoSzVNraaH;17889109061320098;👏👏👏;1624812677
CQoSzVNraaH;18165230557151018;@xxtoxicbeansxx better than killing innocent animals;1624812798
CQoSzVNraaH;17891165456313261;Such a great step forward for the planet, and for the Animals who are murdered for their fur.;1624812852
CQoSzVNraaH;18164484859181500;Finally 🙌;1624813003
CQoSzVNraaH;17881852442371602;Oh man I read that as Canada goes fur free 🙈;1624813016
CQoSzVNraaH;17897158226123655;👏👏👏👏👏👏;1624813177
CQoSzVNraaH;17924916334641386;Now they need to take the next step and go FEATHER FREE;1624813266
CQoSzVNraaH;17891664968228105;Yay Finally!!!;1624813805
CQoSzVNraaH;17873402501414300;🙌;1624814000
CQoSzVNraaH;17883290696353816;Finally 👏👏👏👏;1624814002
CQoSzVNraaH;17882786150364853;How about goose free;1624814612
CQoSzVNraaH;17877841334500857;👏👏👏;1624814820
CQoSzVNraaH;18162492592153644;Bout time;1624815087
CQoSzVNraaH;18066999823303865;Then they should be renamed to Canada plastic;1624815092
CQoSzVNraaH;17895720377144309;Sorry - but shouldn’t this have happened 20+ years ago? PR fail for them to even mention this. My opinion of course.;1624815118
CQoSzVNraaH;18178364335187427;👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏;1624815204
CQoSzVNraaH;17898214835018679;Such great company;1624815351
CQoSzVNraaH;17918980558682339;😂 Not nearly close to making any revenant, humane change. How about finding REAL sustainable alternatives to your whole business model. Starting by leaving the #geese alone, or switching to 100% recycled fibers. @canadagoose #animalrights #activism #climatecrisis #fastfashion;1624815368
CQoSzVNraaH;18000396937341360;What about the feathers inside the coat?;1624815605
CQoSzVNraaH;17897060630122288;🙌;1624816572
CQoSzVNraaH;18235825945056969;But goose down is still ok?...? Wtf?;1624816638
CQoSzVNraaH;17904726433972225;Thankyou for making the right choice, hope its permanant @canadagoose 🙏🏼💕♥️🙌🏼;1624816990
CQoSzVNraaH;18137015506174053;But it won’t be as warm;1624817558
CQoSzVNraaH;17879037614460206;I can finally get one hahaha @loren_dee;1624817698
CQoSzVNraaH;17891014172224891;At last;1624818164
CQoSzVNraaH;18237187402001203;@pammiek1112 2022 🙌;1624818346
CQoSzVNraaH;17922752014712702;@muzicmiztress then it’s filled with down and not fur. Because down isn’t fur.;1624818430
CQoSzVNraaH;17923104133680053;@_alicelancaster_ yesssssss;1624818633
CQoSzVNraaH;18115849768221632;Stop tearing feathers off live birds for down;1624818656
CQoSzVNraaH;17871990926440602;Basic ass attire.;1624818663
CQoSzVNraaH;17866592240495879;😬green-washing;1624818739
CQoSzVNraaH;17984094358374987;Ummmm it took them until 2022 to do this… not impressed;1624819820
CQoSzVNraaH;17871690488513846;@williamjordann Down still hurts other living beings, Einstein.;1624820599
CQoSzVNraaH;17849823626592254;@muzicmiztress right but they’re not committing to that, so if it’s down filled with no fur, then it’s still  fur-free. You had an opportunity to comment whatever you want, and you chose something that doesn’t make sense. That’s all.;1624820789
CQoSzVNraaH;17991845791337929;FINALLY;1624820935
CQoSzVNraaH;17857837310530668;How about people not buy the coats.  This is progress;1624820946
CQoSzVNraaH;17971147480404785;Does that include plastic fake fur free too?;1624821054
CQoSzVNraaH;17903362594922215;Let’s do the same for leather now;1624821387
CQoSzVNraaH;17874430451392289;@laurdon YESSSS FINALLY;1624822749
CQoSzVNraaH;17886573152199603;👏;1624822983
CQoSzVNraaH;17954851636456750;lol this doesn’t mean anything. Green washing;1624823065
CQoSzVNraaH;18159696643085393;Yes finally!!!! 👏🏻 👏🏻 👏🏻;1624823811
CQoSzVNraaH;18188739679098428;They still filling them with down tho;1624824924
CQoSzVNraaH;17977407907380202;😮😍❤️;1624825473
CQoSzVNraaH;17866175681527975;👏;1624809821
CQoSzVNraaH;17864912003529915;Took them long;1624809842
CQoSzVNraaH;17878812170436025;If it is down filled then.....;1624809874
CQoSzVNraaH;17932451983583552;way to go 👏🙌💚🌱now everyone else please follow;1624809883
CQoSzVNraaH;17867074607524692;If it is down filled then.....;1624809936
CQoSzVNraaH;17911023865881980;🙌🙌🙌🙌;1624809937
CQoSzVNraaH;18236868886023291;Congrats to all the animal rights groups that have been fighting for this change!They have been protesting for years in London and pretty sure in other stores too. 👏👏;1624810017
CQoSzVNraaH;17887604255331903;This is nothing to be proud of, after years of ignoring pressure.;1624810030
CQoSzVNraaH;18123561451211708;@justinpjtrudeau your country can use faux fur;1624810052
CQoSzVNraaH;17847490856601539;@justinpjtrudeau your country can use faux fur;1624810064
CQoSzVNraaH;18016385431311284;Okay, but the jackets are filled with down… still not sourced ethically, harming geese;1624810128
CQoSzVNraaH;17875658855374746;@1point5degrees so they should continue instead?;1624810173
CQoSzVNraaH;18093801199257697;about damn time;1624810330
CQoSzVNraaH;17929275214567136;@1point5degrees so they should continue instead?;1624810389
CQoSzVNraaH;18132023596202258;Ummmmm????? Great! Pretty late???????? I hope this is not another greenwashing move;1624810483
CQoSzVNraaH;17890242236317364;🔥;1624810516
CQoSzVNraaH;17908443769900320;So will they be switching to faux fur? Faux fur is also bad for the environment because it's made out of plastics and releases tons of microplastics. This feels less sustainable than using natural products.;1624810567
CQoSzVNraaH;17894296127173313;So will they be switching to faux fur? Faux fur is also bad for the environment because it's made out of plastics and releases tons of microplastics. This feels less sustainable than using natural products.;1624810581
CQoSzVNraaH;17891014853220403;🔥;1624810595
CQoSzVNraaH;17960518603439756;@nattymazz;1624810690
CQoSzVNraaH;17917469563774094;👏👏👏;1624810731
CQoSzVNraaH;17865828671526542;Finally 😮😮;1624810742
CQoSzVNraaH;17919193408741567;@j_c_b_m You dont have to be proud to achieve responsibility.;1624810744
CQoSzVNraaH;17853157178565349;👏;1624810769
CQoSzVNraaH;18160010440154589;Smells like greenwashing to me!;1624810925
CQoSzVNraaH;18132788752206709;@xxtoxicbeansxx exactly. it feels like greenwashing;1624810941
CQoSzVNraaH;18123652687211155;🙌;1624811105
CQoSzVNraaH;17899288153994505;About time! 🙌;1624811109
CQoSzVNraaH;17914560589838734;Finally. Hopefully all fashion firms go vegan. Humanity true potential is based on a vegan diet and products;1624811272
CQoSzVNraaH;17904431632988863;Thank you @rob__banks💖;1624811286
CQoSzVNraaH;17894079521170753;@lil.maemae this can be applied to fur too lmao;1624811293
CQoSzVNraaH;17889206177257368;@cfountou Yes! Same in Montreal💪🐾💙;1624811404
CQoSzVNraaH;18238302517005849;👏👏👏;1624811407
CQoSzVNraaH;17904474574988455;👏👏👏👏👏👏;1624811463
CQoSzVNraaH;18168427270181617;👏;1624811519
CQoSzVNraaH;18079831735283420;As if there isn’t enough of those shitboxes!!;1624811625
CQoSzVNraaH;18076673419285144;Why would anyone would pay premium if the same synthetic will be sold at Zara at quarter the price;1624811699
CQoSzVNraaH;17882387654290315;Finally! 🙌❤️;1624811718
